Case,Scenario,Demand_TWh,SMR_GW,Price_EUR,Total_TWh,Hydro_TWh,Wind_TWh,Solar_TWh,Nuclear_TWh
MD,BL,208,0.0,121.56421167614295,157.63217483600067,113.86946495951128,34.17606046778543,8.219919816845271,0.0
MD,SMR1,208,1.5,113.11940991185588,161.30740790683592,105.07684830446975,34.15309011232431,8.207326955741108,12.555675882227968
MD,SMR3,208,4.5,101.78847327482735,170.23351901107608,89.70822249349727,34.096588771260365,8.176439463292477,37.04827213864237
MD,SMR6,208,9.0,88.42039203582556,187.39671500613397,72.95577126286025,34.00283280672161,8.110908575962027,71.28302738679604
IC,BL,230,0.0,146.8480822155211,173.5105713628273,129.40883983251484,34.343025991971764,8.318226019838223,0.0
IC,SMR1,230,1.5,130.83962009212829,176.55873096645055,119.7663831831473,34.32842203473733,8.308956679055507,12.764363484252767
IC,SMR3,230,4.5,112.03927869649289,183.78554179870721,102.05424075313834,34.29125148645274,8.290100953823982,37.86410467216184
IC,SMR6,230,9.0,97.09018958345426,198.57685304623143,81.18336659937582,34.220021991666854,8.246184242608702,73.80609524684739
